Char,Width,"P. count",Pixels
=ô,=11,=70,"=3,0,0,2,1,94,4,1,94,2,3,47,3,3,0,4,3,46,1,4,23,5,4,45,0,5,23,6,5,0,0,6,0,6,6,0,0,7,47,6,7,0,1,8,23,5,8,49,2,9,48,3,9,0,4,9,49,"
=á,=11,=60,"=4,0,49,3,1,72,1,3,97,2,3,0,3,3,0,4,3,73,5,4,70,5,5,0,2,6,49,3,6,0,4,6,0,5,6,0,0,7,48,5,7,0,0,8,0,4,8,70,5,8,0,1,9,49,2,9,0,3,9,24,5,9,0,"
=3,=11,=50,"=0,0,0,1,0,0,2,0,0,3,0,0,4,0,0,3,1,25,3,2,99,2,3,50,1,4,0,2,4,24,3,5,97,4,5,98,4,6,0,4,7,0,0,8,97,3,8,96,4,8,98,1,9,0,2,9,0,"
=7,=11,=60,"=0,0,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,4,1,98,4,2,0,4,3,100,3,4,0,3,5,97,2,6,0,2,7,98,1,8,0,1,9,73,"
=8,=11,=70,"=1,0,97,2,0,0,3,0,0,4,0,72,0,1,73,1,1,98,5,1,24,0,2,0,5,2,0,0,3,76,1,3,99,5,3,0,1,4,0,2,4,0,4,4,73,1,5,73,4,5,73,5,5,0,0,6,0,6,6,24,0,7,0,6,7,0,1,8,49,5,8,49,2,9,0,3,9,0,4,9,25,"
=w,=8,=70,"=0,0,25,9,0,0,4,1,101,5,1,0,9,1,75,1,2,0,4,2,0,5,2,51,8,2,100,1,3,26,4,3,102,6,3,101,8,3,0,3,4,75,6,4,0,8,4,49,2,5,0,3,5,0,6,5,100,7,5,0,2,6,0,7,6,0,"
=k,=11,=50,"=0,0,0,0,1,0,0,2,0,0,3,0,4,3,0,0,4,0,3,4,0,0,5,0,2,5,93,3,5,115,0,6,0,1,6,0,2,6,0,0,7,0,2,7,116,3,7,91,0,8,0,3,8,47,0,9,0,4,9,0,"
=y,=11,=60,"=0,0,23,5,0,24,1,1,46,5,1,0,1,2,0,1,3,115,4,3,0,2,4,23,4,4,48,2,5,23,3,5,0,3,6,0,3,7,93,2,8,23,0,9,71,1,9,0,"
=D,=11,=80,"=0,0,0,1,0,0,2,0,0,3,0,0,4,0,26,0,1,0,5,1,75,6,1,49,0,2,0,6,2,73,0,3,0,7,3,0,0,4,0,7,4,0,0,5,0,7,5,0,0,6,0,7,6,0,0,7,0,6,7,72,7,7,119,0,8,0,5,8,74,6,8,46,0,9,0,1,9,0,2,9,0,3,9,0,4,9,26,"
=2,=11,=50,"=1,0,71,2,0,0,3,0,48,0,1,0,4,1,46,4,2,0,4,3,0,3,4,92,4,4,114,2,5,71,3,5,69,1,6,48,0,7,73,0,8,0,0,9,0,1,9,0,2,9,0,3,9,0,4,9,0,"
"=,",=4,=6,"=1,0,0,0,1,95,0,2,117,"
=´,=3,=2,"=0,0,49,0,1,96,"
=Y,=11,=70,"=0,0,23,6,0,0,1,1,23,5,1,47,1,2,70,5,2,23,2,3,0,4,3,23,2,4,94,3,4,0,4,4,71,3,5,0,3,6,0,3,7,0,3,8,0,3,9,0,"
